Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
MC.PA,659.8,2021/10/25,17:35 CEST,-7.5,667.9,669.4,657.8,239985,20211025,660.0,1.0,,,,
NLY,8.7143,2021/10/25,15:52 EDT,0.024300575,8.7,8.75,8.69,6778104,20210901,8.72,50.0,,,,
NLY-PF,25.4148,2021/10/25,15:52 EDT,0.054800034,25.5,25.48,25.341,21724,20210901,25.79,17.0,,,,
CNY.PA,8.343,2021/10/25,17:35 CEST,0.0050001144,8.331,8.37,8.3,21486,20210616,8.841,60.0,,,,
KL,45.9101,2021/10/25,15:52 EDT,0.3700981,46.0,46.39,45.9101,704286,20210330,32.0,30.0,,,,
ETH-USD,4183.8916,2021/10/25,20:51 BST,154.43774,4082.5496,4232.5527,4072.0632,16195241984,,0.0,0.0505,,,,
UST.PA,52.75,2021/10/25,17:35 CEST,0.40399933,52.432,52.75,52.35,8106,20200909,37.64,27.0,,,,
ORA.PA,9.605,2021/10/25,17:37 CEST,-0.061000824,9.655,9.687,9.575,8071515,20210108,10.325,100.0,,,,
MA,360.63,2021/10/25,15:52 EDT,1.9599915,362.46,364.3,358.7925,1953033,20210201,315.0,3.0,,,,
V,233.902,2021/10/25,15:52 EDT,2.671997,233.45,234.86,232.3,3951525,20210201,197.0,5.0,,,,
ABBV,108.54,2021/10/25,15:52 EDT,-0.5999985,109.08,109.08,107.75,3101384,20200729,97.09,5.0,,,85.0,
ABBV,108.54,2021/10/25,15:52 EDT,-0.5999985,109.08,109.08,107.75,3101384,20210203,108.92,5.0,,,,
NVDA,232.35,2021/10/25,15:52 EDT,5.0900116,229.73,233.54,227.702,19413937,20210203,130.25,8.0,,,,
MSFT,308.49,2021/10/25,15:52 EDT,-0.6700134,309.36,309.38,306.46,12572639,20200824,213.25,1.0,,,,
MSFT,308.49,2021/10/25,15:52 EDT,-0.6700134,309.36,309.38,306.46,12572639,20201230,222.06,3.0,,,,
OKE,65.85,2021/10/25,15:52 EDT,1.0400009,65.39,65.99,65.195,1209791,20200729,26.72,16.0,,,,
AAPL,148.61,2021/10/25,15:52 EDT,-0.08000183,148.68,149.37,147.6211,40387804,20210309,116.37,5.0,,,,
TSM,113.575,2021/10/25,15:52 EDT,-0.6550064,114.4,114.5499,113.11,4294754,20210119,131.19,5.0,,,,
TSLA,1028.55,2021/10/25,15:52 EDT,118.870056,950.53,1045.0,944.2,59628929,,,,,,,
AMD,122.275,2021/10/25,15:52 EDT,2.4550018,120.515,123.4599,118.6,42977561,,,,,,,
BABA,175.94,2021/10/25,15:52 EDT,-1.7599945,177.86,178.28,173.83,10964849,20210915,156.0,4.0,,,,
EURUSD=X,1.1613053,2021/10/25,20:52 BST,-0.0032458305,1.1641443,1.1671335,1.1595547,0,,,,,,,
NEE,84.35,2021/10/25,15:52 EDT,-0.069999695,84.4,84.81,83.93,2789065,,,,,,,
GME,173.9498,2021/10/25,15:52 EDT,4.1497955,169.42,174.8,167.3701,1306565,,,,,,,
U,146.26,2021/10/25,15:52 EDT,2.4099884,145.0,147.82,143.08,1156761,,,,,,,
GC=F,1808.2,2021/10/25,15:42 EDT,11.899902,1794.2,1811.5,1793.0,145398,,,,,,,
